malayalam_words,english_words,semantic_meaning
കുട്ടികൾ,student,table
കുട്ടി,student,table
വിദ്യാർഥികൾ,student,table
വിദ്യാർഥി,student,table
വിഷയങ്ങൾ,course,table
വിഷയം,course,table
അദ്ധ്യാപകർ,faculty,table
അദ്ധ്യാപകൻ,faculty,table
അദ്ധ്യാപിക,faculty,table
പഠിക്കുക,student,table
പഠിപ്പിക്കുക,faculty,table
ഏത്,select,operation
വിഭാഗം,department,table
വകുപ്പ്,department,table
ഡിപാർട്ട്മെൻറ്,department,table
