malayalam_words,english_words,semantic_meaning
ഐഡി,course_id,attribute
id,course_id,attribute
ID,course_id,attribute
Id,course_id,attribute 
വിഷയം,course_name,attribute 
പഠനവിഷയം,course_name,attribute
പേര്,course_name,attribute
ക്രെഡിറ്റ്,credit,attribute
ഡിപാർട്ട്മെൻറ്,department,attribute
വിഭാഗം,department,attribute
വകുപ്പ്,department,attribute
